CARI_KOD,CARI_ISIM,ADRES,IL,ILCE,ENLEM,BOYLAM,TIPI
A2450,Tuna Kocasinan  Kayseri,Mimarsinan Mah. Tuna Cad. No:43/B-C N:43/A,Kayseri,KOCASINAN,38.73798,35.515613,Magaza
A7201,Harbiþ Afyonkarahisar,Kocatepe mah. Kazým Özel Ýlköðretim Okulu KarþýsýN:1,Afyonkarahisar,MERKEZ,38.738058,30.563989,Magaza
I912,Yeni Ýmam Hatip Merkez Muþ,Yeni Mh. 244. Sokak No:1N:1,Mus,MERKEZ,38.738141,41.503599,Magaza
D043,Ýzmir Caddesi Foça Ýzmir,Mustafa Kemal Atatürk Mh. 2 Ýzmir Caddesi (Papatya Sokak)NN:121,Izmir,FOÇA,38.738178,26.835103,Magaza
F533,Muratpaþa Merkez Muþ,Hürriyet Mh. Murat Paþa Caddesi No:29-30N:,Mus,MERKEZ,38.738606,41.488661,Magaza
A0971,Kýrþehir Caddesi Ortaköy Aksaray,Zafer Mh. 1 Ýhsan Özmen Blv. (Kýrþehir AksN:1,Aksaray,ORTAKÖY,38.738877,34.042823,Magaza
C201,Oymak Cad Kocasinan Kayseri,Barbaros Mh. 29N:29N:29,Kayseri,KOCASINAN,38.739199,35.469751,Magaza
A9542,Kavakyazýsý Kocasinan Kayseri,Erciyesevler Mh. 30 Aðustos Blv.,Kayseri,KOCASINAN,38.739264,35.520671,Magaza
J223,Banaz Banaz Uþak,Cumhuriyet Mh. Fevzi Çakmak Caddesi (Sandýklý Yolu) No:,Usak,BANAZ,38.73928,29.753739,Magaza
F703,Necip Özdemir Cad Merkez Afyonkarahisar,Fatih Mh. 747. Sokak No:4,Afyonkarahisar,MERKEZ,38.739289,30.571523,Magaza
H179,Bahadýr Sokak Banaz Uþak,31 Aðustos Mh. Bahadýr Sokak No:33/A-B,Usak,BANAZ,38.73964,29.757515,Magaza
B272,Sakarya Melikgazi Kayseri,Sakarya Mh. 2/B Doðanyurt Cd.N:2.BN:2/BN:2/BN:2/B,Kayseri,MELIKGAZI,38.739719,35.409313,Magaza
I370,Plevne Ortaköy Aksaray,Plevne Mh. Akpýnar Caddesi No:5/1-AN:1N:1N:N:1,Aksaray,ORTAKÖY,38.739925,34.038334,Magaza
A2390,Þeker Melikgazi Kayseri,Keykubat Mah.  Bülbüldere Caddesi N:13N:13N:13,Kayseri,MELIKGAZI,38.740327,35.41446,Magaza
A6771,ZiyaGökalp Kayseri,ZiyaGökalp Mah. Kanlýca Cad. No:1 / A-BN:1/A/B,Kayseri,KOCASINAN,38.74043,35.442328,Magaza
K049,Beðendik Sk Melikgazi Kayseri,Keykubat Mh. Þht. Büyükelçi Ýsmail Erez Bulvarý No:18,Kayseri,MELIKGAZI,38.740444,35.406049,Magaza
A2389,Mimsin  Melikgazi Kayseri,Þirintepe Mah. Malazgirt Bulvarý ,Kayseri,MELIKGAZI,38.7405,35.577,Magaza
A0123,Yenipervane Kocasinan Kayseri,Zümrüt Mh. 14/A 3845. Cd.N:,Kayseri,KOCASINAN,38.740664,35.497662,Magaza
A5171,Saray Muþ,Yeni Mh. Hürriyet CaddesiN:1N:N:,Mus,MERKEZ,38.740906,41.509515,Magaza
I350,Yeni Selendi Selendi Manisa,Yenicami Mh. Hürriyet Caddesi No:160N:160/BN:,Manisa,SELENDI,38.741159,28.85993,Magaza
A2411,3.Cadde Kocasinan Kayseri,Yeni Mah. 3.Cadde No:57/A N:57/A,Kayseri,KOCASINAN,38.741525,35.488352,Magaza
C444,Yeni Cumhuriyet Merkez Muþ,Saray Mh. 3 Cumhuriyet CaddesiN:N:N:,Mus,MERKEZ,38.741576,41.502594,Magaza
